contact_id,first_name,last_name,email,phone_number,age_group,household,healthcare_worker,patient_id,contact_type,times_called,contact_call_status,contact_date,update_date,relationship,language,symptomatic,self_isolate,notes,isolated_from_patient
1,Chantell,Heit,chantell@yahoo.com,111-111-111,MINOR,t,t,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
2,Francesca,Ashman,francescaa@gmail.com,111-111-112,ELDERLY,t,f,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
3,Elfreda,Rizo,er@gmail.com,111-111-113,ADULT,t,t,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
4,Antonina,Jessup,aj@gmail.com,111-111-114,ADULT,f,t,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
5,Verlene,Vivas,av@gmail.com,111-111-115,ELDERLY,t,t,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
6,Bud,Lanctot,bl@gmail.com,111-111-116,ADULT,f,f,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
7,Angelia,Rubino,ar@gmail.com,111-111-117,ADULT,t,t,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
8,Gina,Van,gv@gmail.com,111-111-118,MINOR,t,f,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
9,Danial,Behrens,db@gmail.com,111-111-119,ADULT,t,f,1,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
10,Carlotta,Macken,cm@gmail.com,111-111-1110,MINOR,f,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
11,Doretha,Frost,df@gmail.com,111-111-1111,ADULT,f,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
12,Cedric,Burgin,cb@gmail.com,111-111-1112,MINOR,t,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
13,Lani,Serafino,ls@gmail.com,111-111-1113,ADULT,f,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
14,Katheleen,Homgren,kh@gmail.com,111-111-1114,MINOR,t,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
15,Quinton,Velasquez,qv@gmail.com,111-111-1115,ELDERLY,f,f,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
16,Concetta,Overton,co@gmail.com,111-111-1116,MINOR,t,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
17,Gary,Chrisman,gc@gmail.com,111-111-1117,ELDERLY,t,f,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
18,Farrah,Zeman,fz@gmail.com,111-111-1118,ELDERLY,t,t,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
19,Jonnie,Litt,jl@gmail.com,111-111-1119,ELDERLY,f,f,2,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
20,Kaley,Matheson,km@gmail.com,111-111-1120,ELDERLY,t,t,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
21,Lu,Stubblefield,lus@gmail.com,111-111-1121,ADULT,t,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
22,Arnetta,Hoppe,ah@gmail.com,111-111-1122,ELDERLY,f,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
